,ID,hourtime,daytime,new_date,new_days,new_months,new_years,Type,real_fatal
1341,2005.07.23,11,Morning,2005.07.23,23,Jul,2005,Unprovoked,NO
1342,2005.07.22,11,Morning,2005.07.22,22,Jul,2005,Invalid,NO
1343,2005.07.17.b,NoDoc,NotDoc,2005.07.17,17,Jul,2005,Invalid,YES
1344,2005.07.17.a,NoDoc,NotDoc,2005.07.17,17,Jul,2005,Provoked,NO
1345,2005.07.15.R,NoDoc,NotDoc,2005.07.15,15,Jul,2005,Invalid,NO
1346,2005.07.15,16,Afternoon,2005.07.15,15,Jul,2005,Unprovoked,NO
1347,2005.07.13,13,Afternoon,2005.07.13,13,Jul,2005,Unprovoked,NO
1348,2005.07.01,11,Morning,2005.07.01,01,Jul,2005,Unprovoked,NO
1349,2005.06.27,11,Morning,2005.06.27,27,Jun,2005,Unprovoked,NO
1350,2005.06.25,11,Morning,2005.06.25,25,Jun,2005,Unprovoked,YES
1351,2005.06.22,NoDoc,Afternoon,2005.06.22,22,Jun,2005,Unprovoked,YES
1352,2005.06.21,07,Morning,2005.06.21,21,Jun,2005,Unprovoked,NO
1353,2005.06.18,08,Morning,2005.06.18,18,Jun,2005,Invalid,NO
1354,2005.06.16,NoDoc,Afternoon,2005.06.16,16,Jun,2005,Unprovoked,NO
1355,2005.06.13,NoDoc,NotDoc,2005.06.13,13,Jun,2005,Unprovoked,NO
1356,2005.06.07,11,Morning,2005.06.07,07,Jun,2005,Unprovoked,NO
1357,2005.06.05,11,Morning,2005.06.05,05,Jun,2005,Invalid,NO
1358,2005.06.04,15,Afternoon,2005.06.04,04,Jun,2005,Unprovoked,YES
1359,2005.06.02,NoDoc,Morning,2005.06.02,02,Jun,2005,Unprovoked,NO
1360,2005.05.28,17,Sunset,2005.05.28,28,May,2005,Unprovoked,NO
1361,2005.05.27,18,Sunset,2005.05.27,27,May,2005,Unprovoked,NO
1362,2005.05.25,11,Morning,2005.05.25,25,May,2005,Unprovoked,NO
1363,2005.05.15,NoDoc,NotDoc,2005.05.15,15,May,2005,Unprovoked,NO
1364,2005.05.14,11,Morning,2005.05.14,14,May,2005,Unprovoked,NO
1365,2005.05.03,NoDoc,NotDoc,2005.05.03,03,May,2005,Unprovoked,NO
1366,2005.05.02.R,NoDoc,NotDoc,2005.05.02,02,May,2005,Sea Disaster,NO
1367,2005.05.02,10,Morning,2005.05.02,02,May,2005,Unprovoked,NO
1368,2005.04.25,23,Night,2005.04.25,25,Abr,2005,Provoked,NO
1369,2005.04.17.R,NoDoc,NotDoc,2005.04.17,17,Abr,2005,Unprovoked,NO
